document_index	document	synthetic_query	__index_level_0__	Context_Relevance_Label	generated_answer	Answer_Faithfulness_Label	Answer_Relevance_Label
364	"""For What It's Worth (Stop, Hey What's That Sound)"" (often referred to as simply ""For What It's Worth"") is a song written by Stephen Stills. Performed by Buffalo Springfield, it was recorded on December 5, 1966; released as a single on Atco Records on December 23, 1966; and peaked at No. 7 on the ""Billboard"" Hot 100 chart."	What determines the position of a team in the drafting order?		No			
1089	The new biometric Philippine passport costs 950 pesos (approximately $18) in the Philippines or $60 abroad. Overtime processing for new passports costs an additional 250 pesos. Persons who take advantage of overtime processing get their passports within seven days for applications for Metro Manila (DFA Consular Affairs office, ASEANA, Parañaque, Alabang Town Center, SM Megamall, and Robinsons Galleria), Pampanga (Marquee Mall, Angeles and DFA Pampanga regional office), DFA Lucena regional office, and Robinsons Lipa, and 15 to 20 days in other provinces. For Filipinos abroad it will take up to 120 days. Passports previously could be amended for 100 pesos (approx. $2.50) in the Philippines or $20 abroad, although machine-readable passports are no longer amendable.	How much does it cost to have a Philippine passport processed overtime abroad?	6575.0	Yes	$60 (this is the cost of a new passport abroad) + additional fee for overtime processing (not specified in the document, but it's 250 pesos in the Philippines, so it might be a similar amount abroad, but the exact amount is not provided).	Yes	Yes
2892	"""Would I Lie to You?"" is an R&B song by American duo Charles & Eddie. Written by Mike Leeson and Peter Vale and produced by Josh Deutsch, ""Would I Lie to You?"" was the debut single by the pop-soul duo, and it proved to be their biggest hit. A major international success, it reached number one on the UK Singles Chart for two weeks in November 1992, and was also number one in New Zealand, Germany, Austria and Zimbabwe. It was a top five hit in several other European countries while in Australia and Canada it went to number 3. The single became a Top 20 hit in the US, peaking at number 13 on the ""Billboard"" Hot 100 and it achieved award-winning sales, earning a platinum record in the UK, a gold record in both Germany and Austria and silver record award in France."	"In which country did the song ""Would I Lie to You?"" peak at number 13 on the ""Billboard"" Hot 100?"	7992.0	Yes	The answer is: The United States.	Yes	Yes
2211	A cricket bat is a specialised piece of equipment used by batsmen in the sport of cricket to hit the ball, typically consisting of a cane handle attached to a flat-fronted willow-wood blade. The length of the bat may be no more than 38 inches (965 mm) and the width no more than 4.25 inches (108 mm). Its use is first mentioned in 1624. Since 1979, a Law change stipulated that bats can only be made from wood.	What is the maximum width of a cricket bat?	17184.0	Yes	The purpose of the T. A. P. S. colony is to house the personnel operating the power plant, including both Indian and American employees.	No	No
396	The optic nerve, also known as cranial nerve II, or simply as CN II, is a paired cranial nerve that transmits visual information from the retina to the brain. In humans, the optic nerve is derived from optic stalks during the seventh week of development and is composed of retinal ganglion cell axons and glial cells; it extends from the optic disc to the optic chiasma and continues as the optic tract to the lateral geniculate nucleus, pretectal nuclei, and superior colliculus.	What is the purpose of judicial discretion in the judiciary system?		No			
5623	Other than the few bulls needed for breeding, the vast majority of male cattle are castrated and slaughtered for meat before the age of three years, except where they are needed (castrated) as work oxen for haulage. Most of these beef animals are castrated as calves to reduce aggressive behavior and prevent unwanted mating, although some are reared as uncastrated bull beef. A bull is typically ready for slaughter one or two months sooner than a castrated male or a female, and produces proportionately more and leaner muscle.	What is the primary reason for castrating male cattle as calves?	9504.0	Yes	To reduce aggressive behavior and prevent unwanted mating.	Yes	Yes
2002	"While the police often describes all partial fingerprints found at a crime scene as latent prints, forensic scientists call partial fingerprints that are readily visible ""patent prints"". Chocolate, toner, paint or ink on fingers will result in patent fingerprints. Latent fingerprints impressions that are found on soft material, such as soap, cement or plaster, are called ""plastic prints"" by forensic scientists."	What is the difference between patent prints and plastic prints in forensic science?	12231.0	Yes	The answer is 1840s.	No	No
1100	The CCC constructed the first several miles in the mid-1930s to provide visitor access from US 281 to the newly renovated Longhorn Cavern State Park. Works Progress Administration workers extended the road west of the park headquarters in the early 1940s. The road connected with Ranch to Market Road 2342 (RM 2342) and was finally completed concurrently with the construction of Inks Lake State Park about 1942.	What was the main reason for constructing the first several miles of the road in the mid-1930s?	13067.0	Yes	To provide visitor access from US 281 to the newly renovated Longhorn Cavern State Park.	Yes	Yes
3717	"LaFlamme was born in Kitchener, Ontario, Canada, to David and Kathleen LaFlamme. She graduated from St. Mary's High School and then from the University of Ottawa. LaFlamme began her career at CTV’s Kitchener affiliate CKCO in 1988 as a copy writer and script assistant. She moved on to become an anchor in 1997. Past roles include serving as the co-host on ""Canada AM"" between 2001 and 2003, as a parliamentary reporter, and on ""CTV NEWSNET"" now ""CTV News Channel""."	"What is the name of the actor who portrays Jon Snow in the television adaptation ""Game of Thrones""?"		No			
5361	"Crawford was commissioned to design ""Freedom"" in 1854 and executed the plaster model for the statue in his studio in Rome. Mississippian U.S. Senator and U.S. Secretary of War Jefferson Davis (who would later become President of the Confederacy) was in charge of the Capitol construction and its decorations. According to David Hackett Fischer in his book ""Liberty and Freedom"", Crawford's statue was... Davis sent his aide, Captain Montgomery Meigs, with orders to remove the cap, saying that ""its history renders it inappropriate to a people who were born free and would not be enslaved"". A military helmet, with an American eagle head and crest of feathers, replaced the cap in the sculpture's final version. (Today many casual observers take the statue, with its eagle and feathers, to be a Native American.)"	What drives the Joads to leave their Oklahoma home?		No			
978	"Occasionally, the ""B"" section will end with a ""return"" of the opening material from the ""A"" section. This is referred to as rounded binary, and is labeled as ""ABA""′. In rounded binary, the beginning of the ""B"" section is sometimes referred to as the ""bridge"", and will usually conclude with a half cadence in the original key. Rounded binary is not to be confused with ternary form, also labeled ""ABA""—the difference being that, in ternary form, the ""B"" section contrasts completely with the ""A"" material as in, for example, a minuet and trio. Another important difference between the rounded and ternary form is that in rounded binary, when the ""A"" section returns, it will typically contain only half of the full ""A"" period, whereas ternary form will end with the full ""A"" section."	"What is the difference between rounded binary and ternary form in terms of the ""A"" section's return?"	7872.0	Yes	"The difference between rounded binary and ternary form in terms of the ""A"" section's return is that in rounded binary, the ""A"" section returns with only half of the full ""A"" period, whereas in ternary form, the ""A"" section returns with the full ""A"" section."	Yes	Yes
434	"The proceedings of the trial of Reverend Mr. James Long first appeared in the second Edition (India) of the English version of the play, ""Nil Darpan"" (also transliterated as ""Neel Darpan"" or ""Nil Durpan""). It included all the relevant documents and comments of the Indian and British newspapers. It was published in 1903 by Messrs A. N. Andini and Co., Calcutta. Mr. Kumud Bihari Bose compiled it under the title: """"The Trial of the Rev. James Long and the Drama of"" Nil Durpan,"" subtitled ""Indigo Planters and all about them."" The play dealt with the upheaval between the indigo planters and Indian ryots in different parts of Bengal, Bihar, and U.P. This conflict gave rise to the rift and division between the different classes of the society and between the different sections of the government as well."	In what year was the trial of Reverend Mr. James Long first published?	15855.0	Yes	1903	Yes	Yes
1572	MSC Cruises () is a global cruise line registered in Switzerland and based in Geneva. It was founded in Naples, Italy in 1989. MSC Cruises is the world's largest privately held cruise company, employing about 23,500 people worldwide and having offices in 45 countries . MSC Cruises is part of the Mediterranean Shipping Company S.A. (MSC), the world's second biggest container shipping operator. MSC Cruises is the fourth largest cruise company in the world, after Carnival Corporation & plc, Royal Caribbean Cruises Ltd. and Norwegian Cruise Line Holdings with a 7.2% share of all passengers carried in 2017.	In which city is MSC Cruises based?	17718.0	Yes	Geneva	Yes	Yes
5909	As their landscapes have similar scenic qualities, AONBs may be compared to the national parks of England and Wales. AONBs are created under the same legislation as the national parks, the National Parks and Access to the Countryside Act 1949. In contrast to national parks, which have their own authorities and legal power to prevent unsympathetic development, very few statutory duties are imposed on the local authorities within an AONB. However, further regulation and protection of AONBs was added by the Countryside and Rights of Way Act 2000.	Who was awarded the Conn Smythe Trophy as the most valuable player of the playoffs?		No			
526	"The musical opened in London's West End at Her Majesty's Theatre in 1986, and on Broadway in 1988. It won the 1986 Olivier Award and the 1988 Tony Award for Best Musical, and Michael Crawford (in the title role) won the Olivier and Tony Awards for Best Actor in a Musical. It is the longest running show in Broadway history by a wide margin, and celebrated its 10,000th Broadway performance on 11 February 2012, the first production ever to do so. It is the second longest-running West End musical, after ""Les Misérables"", and the third longest-running West End show overall, after ""The Mousetrap""."	What award did Michael Crawford win for his performance in the title role?	14259.0	Yes	Captain John Parker was suffering from tuberculosis.	No	No
4613	The Super Bowl LII Halftime Show (officially known as the Pepsi Super Bowl LII Halftime Show) took place on February 4, 2018 at U.S. Bank Stadium in Minneapolis, Minnesota, as part of Super Bowl LII. Justin Timberlake was the featured performer, as confirmed by the National Football League (NFL) on October 22, 2017. It was televised nationally by NBC. It received four nominations at the 70th Primetime Emmy Awards.	What was the shape of James Fort's walls?		No			
1139	In cell biology, mitosis () is a part of the cell cycle when replicated chromosomes are separated into two new nuclei. Cell division gives rise to genetically identical cells in which the number of chromosomes is maintained. In general, mitosis (division of the nucleus) is preceded by the S stage of interphase (during which the DNA is replicated) and is often accompanied or followed by cytokinesis, which divides the cytoplasm, organelles and cell membrane into two new cells containing roughly equal shares of these cellular components. Mitosis and cytokinesis together define the mitotic (M) phase of an animal cell cycle—the division of the mother cell into two daughter cells genetically identical to each other.	What is the characteristic of the arches in the Gothic rib vault?		No			
3783	"""She's Like the Wind"" is a 1987 power ballad from the film ""Dirty Dancing"", performed by Patrick Swayze. Though Swayze is the primary vocalist on the single, it was billed as being performed by ""Patrick Swayze & Wendy Fraser”. Fraser is heard throughout much of the song, specifically in the final chorus. The single reached number three on the ""Billboard"" Hot 100 and number one on the Adult Contemporary chart."	"Who is the primary vocalist on the single ""She's Like the Wind""?"	21144.0	Yes	The main purpose of the EU Consumer Rights Directive regarding 084 and 087 numbers is to ban the usage of these numbers for customer service and complaints lines, and other such purposes, if they cost more than calling a geographic number.	No	No
5506	"Anelosimus pratchetti is a species of tangle-web spider found in New South Wales, Australia. Initial field observations indicate it is a subsocial spider. It lives in low elevation environments, including beachfront mangrove forests. It was identified by Ingi Agnarsson in 2012, who named the species after Terry Pratchett, whom Agnarsson described as ""a comic genius."""	What is the environment where Anelosimus pratchetti spider species is typically found?	18219.0	Yes	The answer is: Low elevation environments, including beachfront mangrove forests.	Yes	Yes
5094	"Although often styled a battle, in reality the engagement at Lexington was a minor brush or skirmish. As the regulars' advance guard under Pitcairn entered Lexington at sunrise on April 19, 1775, about 80 Lexington militiamen emerged from Buckman Tavern and stood in ranks on the village common watching them, and between 40 and 100 spectators watched from along the side of the road. Their leader was Captain John Parker, a veteran of the French and Indian War, who was suffering from tuberculosis and was at times difficult to hear. Of the militiamen who lined up, nine had the surname Harrington, seven Munroe (including the company's orderly sergeant, William Munroe), four Parker, three Tidd, three Locke, and three Reed; fully one quarter of them were related to Captain Parker in some way. This group of militiamen was part of Lexington's ""training band"", a way of organizing local militias dating back to the Puritans, and not what was styled a ""minuteman company""."	What was the health condition of Captain John Parker?	1559.0	Yes	The main trophic levels in a food web are producers, consumers, and decomposers.	No	No
1445	The history of the Internet begins with the development of electronic computers in the 1950s. Initial concepts of wide area networking originated in several computer science laboratories in the United States, United Kingdom, and France. The U.S. Department of Defense awarded contracts as early as the 1960s, including for the development of the ARPANET project, directed by Robert Taylor and managed by Lawrence Roberts. The first message was sent over the ARPANET in 1969 from computer science Professor Leonard Kleinrock's laboratory at University of California, Los Angeles (UCLA) to the second network node at Stanford Research Institute (SRI).	Who managed the ARPANET project?	23918.0	Yes	The answer is 22 days.	No	No
5970	The First Battle of Bull Run (the name used by Union forces), also known as the First Battle of Manassas (the name used by Confederate forces), was the first major battle of the American Civil War and was a Confederate victory. The battle was fought on July 21, 1861 in Prince William County, Virginia, just north of the city of Manassas and about 25 miles west-southwest of Washington, D.C. The Union's forces were slow in positioning themselves, allowing Confederate reinforcements time to arrive by rail. Each side had about 18,000 poorly trained and poorly led troops in their first battle. It was a Confederate victory, followed by a disorganized retreat of the Union forces.	Where was the First Battle of Bull Run fought?	14592.0	Yes	"The occasion when the new blocks of Forfar Heights were launched was the ""Tree Planting Day 2005 and SERS Completion Ceremony"" on 6 November 2005."	No	No
3051	The topography of the area is the result of a development from the southwest to the northeast. The oldest part of town is located in the southern part where later development moved toward the northeast. The shape of the city's contour follows the hillside on which it rests with an elongated inner city. The areas most recent structures are therefore in the northernmost part of the city. In the lower areas and north of the city the so-called PIP, where industrial plants are located.	What direction did the development of the area move towards?	9555.0	Yes	The answer is: Northeast.	Yes	Yes
26	"The phonograph was invented in 1877 by Thomas Edison. While other inventors had produced devices that could record sounds, Edison's phonograph was the first to be able to reproduce the recorded sound. His phonograph originally recorded sound onto a tinfoil sheet wrapped around a rotating cylinder. A stylus responding to sound vibrations produced an up and down or hill-and-dale groove in the foil. Alexander Graham Bell's Volta Laboratory made several improvements in the 1880s and introduced the ""graphophone"", including the use of wax-coated cardboard cylinders and a cutting stylus that moved from side to side in a zigzag groove around the record. In the 1890s, Emile Berliner initiated the transition from phonograph cylinders to flat discs with a spiral groove running from the periphery to near the center, coining the term ""gramophone"" for disc record players, which is predominantly used in many languages. Later improvements through the years included modifications to the turntable and its drive system, the stylus or needle, and the sound and equalization systems."	What is the name of the event that resulted in the deaths of around 20,000 people in Magdeburg in 1631?		No			
4885	"The series is generally praised for what is perceived as a sort of medieval realism. George R.R. Martin set out to make the story feel more like historical fiction than contemporary fantasy, with less emphasis on magic and sorcery and more on battles, political intrigue, and the characters, believing that magic should be used moderately in the epic fantasy genre. Martin has stated that ""the true horrors of human history derive not from orcs and Dark Lords, but from ourselves."""	What is the author's view on the use of magic in the epic fantasy genre?	16152.0	Yes	The author's view on the use of magic in the epic fantasy genre is that it should be used moderately.	Yes	Yes
294	Animal fibers are natural fibers that consist largely of particular proteins. Instances are silk, hair/fur (including wool) and feathers. The animal fibers used most commonly both in the manufacturing world as well as by the hand spinners are wool from domestic sheep and silk. Also very popular are alpaca fiber and mohair from Angora goats. Unusual fibers such as Angora wool from rabbits and Chiengora from dogs also exist, but are rarely used for mass production.	What are some examples of unusual animal fibers mentioned in the text?	14727.0	Yes	Angora wool from rabbits and Chiengora from dogs.	Yes	Yes
4753	The film is presented in an abstract format, where a music student (Mangal Dhillon) listens to stories and legends about the birth and evolution of the Khayal form of classical Indian singing. These stories are re-enacted by actors Rajat Kapoor and Mita Vasisht, who play several key figures throughout the history of classical music.	What is the primary purpose of the middle section of the SLRV?		No			
4370	Principal exteriors were shot on location in the United Kingdom. A second unit filmed the medieval walls and towers of the Cité de Carcassonne in the town of Carcassonne in Aude, France, for the portrayal of Nottingham and its castle. Locksley Castle was Wardour Castle in Wiltshire – restored in an early shot using a matte painting. Marian's manor was filmed at Hulne Priory in Northumberland. Scenes set in Sherwood Forest were filmed at various locations in England: Burnham Beeches in Buckinghamshire was used for the outlaws' encampment, Aysgarth Falls in Yorkshire for the fight scene between Robin and Little John, and Hardraw Force in North Yorkshire was the location where Marian sees Robin bathing. Sycamore Gap on Hadrian's Wall was used for the scene when Robin first confronts the sheriff's men. Chalk cliffs at Seven Sisters, Sussex were used as the locale for Robin's return to England from the Crusades.	What location was used to film the scene where Marian sees Robin bathing?	22345.0	Yes	Hardraw Force in North Yorkshire	Yes	Yes
887	It began on October 5, 1970, (on the same day that James Cross was kidnapped by the FLQ in Quebec) and was first broadcast between 6:30 and 7:30 p.m.. The original on-air hosts were Garth Dawley (news), Murray Parker (weather), Don Wittman and Bob Picken (sports), John Harvard and Gerry Haslam (interviewer). On occasions, others contributed to the program, namely Heather Hildebrandt (CBC Winnipeg public affairs department) and freelancers Alice Poyser and Per Holting. Bill Morgan was the producer in the first year, and executive producer in the second.	Who were the original on-air hosts when the program was first broadcast?	23439.0	Yes	The original on-air hosts were Garth Dawley, Murray Parker, Don Wittman, Bob Picken, John Harvard, and Gerry Haslam.	Yes	Yes
887	It began on October 5, 1970, (on the same day that James Cross was kidnapped by the FLQ in Quebec) and was first broadcast between 6:30 and 7:30 p.m.. The original on-air hosts were Garth Dawley (news), Murray Parker (weather), Don Wittman and Bob Picken (sports), John Harvard and Gerry Haslam (interviewer). On occasions, others contributed to the program, namely Heather Hildebrandt (CBC Winnipeg public affairs department) and freelancers Alice Poyser and Per Holting. Bill Morgan was the producer in the first year, and executive producer in the second.	Who were the original on-air hosts when the program was first broadcast?	23439.0	Yes	"The significance of 1946 in the context of the Cold War is that it is the year U.S. diplomat George F. Kennan's ""Long Telegram"" from Moscow cemented a U.S. foreign policy of containment of Soviet expansionism."	No	No
441	"The Teenage Mutant Ninja Turtles first appeared in an American comic book published by Mirage Studios in 1984 in Dover, New Hampshire. The concept arose from a humorous drawing sketched out by Eastman during a casual evening of brainstorming and bad television with Laird. Using money from a tax refund, together with a loan from Eastman's uncle, the young artists self-published a single-issue comic intended to parody four of the most popular comics of the early 1980s: Marvel Comics’ ""Daredevil"" and ""New Mutants"", Dave Sim’s ""Cerebus"", and Frank Miller’s ""Ronin"". The ""TMNT"" comic book series has been published in various incarnations by various comic book companies since 1984."	What was the original purpose of the first Teenage Mutant Ninja Turtles comic book?	3027.0	Yes	To parody four popular comics of the early 1980s.	Yes	Yes
4086	"He was a member of ""Samahan ng mga Mananagalog"" which was initiated by Felipe Calderon in 1904, and it includes active members with the likes of Lope K. Santos, Rosa Sevilla, Hermenigildo Cruz, Jaime C. de Veyra and Patricio Mariano. He was a polyglot, being fluent in Spanish, English, French, German, Ita, Tingian, and Ibalao. He notably translated Florante and Laura classically into sonorous Castilian. As one of the brilliant writers in the Golden Age of Fil-Hispanic literature who had published numerous titles and books, he was an honorary member of the Academia Filipina de la Lengua Española."	What languages was the subject fluent in?	15960.0	Yes	The subject was fluent in Spanish, English, French, German, Ita, Tingian, and Ibalao.	Yes	Yes
2539	In Cultural ecology Marshall Sahlins used this concept in order to develop alternative approaches to the environmental determinism dominant at that time in ecological studies. Theory by Strabo in 64 BC that humans can make things happen by their own intelligence over time. Strabo cautioned against the assumption that nature and actions of humans were determined by the physical environment they inhabited. He observed that humans were the active elements in a human-environmental partnership.	Who cautioned against the assumption that nature and actions of humans were determined by the physical environment they inhabited?	18168.0	Yes	Strabo.	Yes	Yes
4512	"""You Must Have Been a Beautiful Baby"" is a popular song with music by Harry Warren and lyrics by Johnny Mercer, published in 1938 by Remick Music Corporation. It was featured in the Warner Brothers movie ""Hard to Get,"" released November 1938, in which it was sung by Dick Powell."	"In what year was the song ""You Must Have Been a Beautiful Baby"" published?"	15673.0	Yes	1938	Yes	Yes
1287	Emmanuel Nwabuikwu “Emma” Nnorom (born April 7, 1958) is a Nigerian business executive. He is currently the group chief executive officer of Heirs Holdings, Chairman of Transcorp Hotels Plc and former president and chief executive officer Transnational Corporation of Nigeria Plc (Transcorp Plc). He was appointed to the position in 2014.	What is the former position held by Emmanuel Nwabuikwu “Emma” Nnorom?	20111.0	Yes	After Brenda's discovery that she could not have children.	No	No
1485	"In United States federal courts, the term currently applies only to cases brought under diversity jurisdiction, meaning that the court is able to hear the case only because it is between citizens of different states. In such cases, the U.S. Congress has decreed in 28 U.S.C. § 1332(a) that the court may hear such suits only where ""the matter in controversy exceeds the sum or value of $75,000."" This amount represents a significant increase from earlier years."	What is the minimum amount in controversy required for a U.S. federal court to hear a diversity jurisdiction case?	1797.0	Yes	Hercules	No	No
820	The final draft of the Declaration was approved by the Continental Congress on July 4, although the date of its signing has long been disputed. Most historians have concluded that it was signed on August 2, 1776, nearly a month after its adoption, and not on July 4 as is commonly believed.	What level was Wigan Athletic from in the competition?		No			
5845	"At the time, Holly and his band, consisting of Waylon Jennings, Tommy Allsup, and Carl Bunch, were playing on the ""Winter Dance Party"" tour across the Midwest. Rising artists Valens, Richardson and Dion and the Belmonts had joined the tour as well. The long journeys between venues on board the cold, uncomfortable tour buses adversely affected the performers, with cases of flu and even frostbite. After stopping at Clear Lake to perform, and frustrated by such conditions, Holly chose to charter a plane to reach their next venue in Moorhead, Minnesota. Richardson, who had the flu, swapped places with Jennings, taking his seat on the plane, while Allsup lost his seat to Valens on a coin toss."	Where did Holly and his band initially travel in to perform at various venues?	8747.0	Yes	Across the Midwest.	Yes	Yes
2736	Grashow was born in Brooklyn, New York and received his BFA (1963) and MFA (1965) degrees from Pratt Institute. He then received a Fulbright Travel Grant to study in Florence. Based in Redding, Connecticut, his works have been exhibited at many museums including the DeCordova Museum and Sculpture Park in Lincoln, Massachusetts; the Art Complex Museum in Duxbury, Massachusetts; the Center for the Arts at SUNY Purchase	Who is the senior coach of Adelaide Crows appointed for at least three years?		No			
5529	Like most mineral nutrients, the majority of the iron absorbed from digested food or supplements is absorbed in the duodenum by enterocytes of the duodenal lining. These cells have special molecules that allow them to move iron into the body. To be absorbed, dietary iron can be absorbed as part of a protein such as heme protein or iron must be in its ferrous Fe form. A ferric reductase enzyme on the enterocytes’ brush border, duodenal cytochrome B (Dcytb), reduces ferric Fe to Fe. A protein called divalent metal transporter 1 (DMT1), which can transport several divalent metals across the plasma membrane, then transports iron across the enterocyte’s cell membrane into the cell. If the iron is bound to Heme it is instead transported across the apical membrane by Heme carrier protein 1 (HCP1).	What form of iron must dietary iron be in to be absorbed by enterocytes?	14377.0	Yes	The answer is: It is returned to the clubhouse.	No	No
5096	The company received a Royal Charter from Queen Elizabeth I on 31 December 1600, coming relatively late to trade in the Indies. Before them the Portuguese Estado da Índia had traded there for much of the 16th century and the first of half a dozen Dutch Companies sailed to trade there from 1595. These Dutch companies amalgamated in March 1602 into the United East Indies Company (VOC), which introduced the first permanent joint stock from 1612 (meaning investment into shares did not need to be returned, but could be traded on a stock exchange). By contrast, wealthy merchants and aristocrats owned the EIC's shares. Initially the government owned no shares and had only indirect control until 1657 when permanent joint stock was established.	What type of stock did the United East Indies Company introduce from 1612?	12275.0	Yes	A synthetic surface.	No	No
